data;Taxa (% a.d);
08/11/2019;0.013424658;
11/11/2019;0.013424658;
12/11/2019;0.013424658;
13/11/2019;0.013424658;
14/11/2019;0.013424658;
18/11/2019;0.013424658;
19/11/2019;0.013424658;
21/11/2019;0.013424658;
22/11/2019;0.013424658;
25/11/2019;0.013424658;
26/11/2019;0.013424658;
27/11/2019;0.013424658;
28/11/2019;0.013424658;
29/11/2019;0.013424658;
02/12/2019;0.013424658;
03/12/2019;0.013424658;
04/12/2019;0.013424658;
05/12/2019;0.013424658;
06/12/2019;0.013424658;
09/12/2019;0.013424658;
10/12/2019;0.013424658;
11/12/2019;0.013424658;
12/12/2019;0.012054795;
13/12/2019;0.012054795;
16/12/2019;0.012054795;
17/12/2019;0.012054795;
18/12/2019;0.012054795;
19/12/2019;0.012054795;
20/12/2019;0.012054795;
23/12/2019;0.012054795;
26/12/2019;0.012054795;
27/12/2019;0.012054795;
30/12/2019;0.012054795;
02/01/2020;0.012054795;
03/01/2020;0.012054795;
06/01/2020;0.012054795;
07/01/2020;0.012054795;
08/01/2020;0.012054795;
09/01/2020;0.012054795;
10/01/2020;0.012054795;
13/01/2020;0.012054795;
14/01/2020;0.012054795;
15/01/2020;0.012054795;
16/01/2020;0.012054795;
17/01/2020;0.012054795;
20/01/2020;0.012054795;
21/01/2020;0.012054795;
22/01/2020;0.012054795;
23/01/2020;0.012054795;
24/01/2020;0.012054795;
27/01/2020;0.012054795;
28/01/2020;0.012054795;
29/01/2020;0.012054795;
30/01/2020;0.012054795;
31/01/2020;0.012054795;
03/02/2020;0.012054795;
04/02/2020;0.012054795;
05/02/2020;0.012054795;
06/02/2020;0.011369863;
07/02/2020;0.011369863;
10/02/2020;0.011369863;
11/02/2020;0.011369863;
12/02/2020;0.011369863;
13/02/2020;0.011369863;
14/02/2020;0.011369863;
17/02/2020;0.011369863;
18/02/2020;0.011369863;
19/02/2020;0.011369863;
20/02/2020;0.011369863;
21/02/2020;0.011369863;
26/02/2020;0.011369863;
27/02/2020;0.011369863;
28/02/2020;0.011369863;
02/03/2020;0.011369863;
03/03/2020;0.011369863;
04/03/2020;0.011369863;
05/03/2020;0.011369863;
06/03/2020;0.011369863;
09/03/2020;0.011369863;
10/03/2020;0.011369863;
11/03/2020;0.011369863;
12/03/2020;0.011369863;
13/03/2020;0.011369863;
16/03/2020;0.011369863;
17/03/2020;0.011369863;
18/03/2020;0.011369863;
19/03/2020;0.01;
20/03/2020;0.01;
23/03/2020;0.01;
24/03/2020;0.01;
25/03/2020;0.01;
26/03/2020;0.01;
27/03/2020;0.01;
30/03/2020;0.01;
31/03/2020;0.01;
01/04/2020;0.01;
02/04/2020;0.01;
03/04/2020;0.01;
06/04/2020;0.01;
07/04/2020;0.01;
08/04/2020;0.01;
09/04/2020;0.01;
13/04/2020;0.01;
14/04/2020;0.01;
15/04/2020;0.01;
16/04/2020;0.01;
17/04/2020;0.01;
20/04/2020;0.01;
22/04/2020;0.01;
23/04/2020;0.01;
24/04/2020;0.01;
27/04/2020;0.01;
28/04/2020;0.01;
29/04/2020;0.01;
30/04/2020;0.01;
04/05/2020;0.01;
05/05/2020;0.01;
06/05/2020;0.01;
07/05/2020;0.007945205;
08/05/2020;0.007945205;
11/05/2020;0.007945205;
12/05/2020;0.007945205;
13/05/2020;0.007945205;
14/05/2020;0.007945205;
